# Program:featureCounts v2.0.3; Command:"featureCounts" "-s" "1" "-t" "gene" "-g" "gene_id" "-a" "/shared/ngs/illumina/henikoff/databases/human/hg19/gencode.v19.annotation.GRCh37.p13.gtf" "-o" "NK_hs_2006_S53.featureCounts.gene.tab" "NK_hs_2006_S53.bam" 
Geneid	Chr	Start	End	Strand	Length	NK_hs_2006_S53.bam
ENSG00000235146.2	chr1	523009	530148	+	7140	0
ENSG00000239664.2	chr1	529833	532878	-	3046	0
ENSG00000230021.3	chr1	536816	659930	-	123115	79
ENSG00000223659.1	chr1	562757	564390	-	1634	0
ENSG00000225972.1	chr1	564442	564813	+	372	0
ENSG00000225630.1	chr1	565020	566063	+	1044	11
ENSG00000237973.1	chr1	566454	567996	+	1543	13
ENSG00000229344.1	chr1	568137	568818	+	682	7
ENSG00000240409.1	chr1	568915	569121	+	207	0
ENSG00000248527.1	chr1	569076	569756	+	681	85
ENSG00000198744.5	chr1	569756	570302	+	547	2
ENSG00000268663.1	chr1	610222	610645	+	424	0
ENSG00000185097.2	chr1	621059	622053	-	995	0
ENSG00000229376.3	chr1	657472	660283	+	2812	0
ENSG00000224956.5	chr1	661611	663527	-	1917	0
ENSG00000235373.1	chr1	677193	685396	-	8204	0
ENSG00000223181.1	chr1	693613	693716	-	104	2
ENSG00000240618.1	chr1	694412	700305	-	5894	0
ENSG00000229905.1	chr1	696291	697369	+	1079	0
ENSG00000228327.2	chr1	700237	714006	-	13770	17
ENSG00000237491.4	chr1	714150	745440	+	31291	49
ENSG00000230092.3	chr1	736259	745541	-	9283	4
ENSG00000269831.1	chr1	738532	739137	-	606	0
ENSG00000240453.1	chr1	745489	753092	-	7604	5
ENSG00000177757.1	chr1	752751	755214	+	2464	0
ENSG00000225880.4	chr1	761586	762902	-	1317	25
ENSG00000228794.4	chr1	762988	794826	+	31839	45
ENSG00000230368.2	chr1	803451	812283	-	8833	0
ENSG00000234711.1	chr1	808672	809729	+	1058	0
ENSG00000269308.1	chr1	818043	819983	+	1941	0
ENSG00000272438.1	chr1	840214	851356	+	11143	112
ENSG00000230699.2	chr1	846815	850328	+	3514	0
ENSG00000241180.1	chr1	849551	850351	+	801	0
ENSG00000223764.2	chr1	852245	856396	-	4152	198
ENSG00000187634.6	chr1	860260	879955	+	19696	1129
ENSG00000268179.1	chr1	861264	866445	-	5182	6
ENSG00000188976.6	chr1	879584	894689	-	15106	911
ENSG00000187961.9	chr1	895967	901095	+	5129	570
ENSG00000187583.6	chr1	901877	911245	+	9369	33
ENSG00000187642.5	chr1	910579	917497	-	6919	2
ENSG00000272512.1	chr1	931346	933431	-	2086	47
ENSG00000188290.6	chr1	934342	935552	-	1211	2866
ENSG00000231702.2	chr1	943456	943609	-	154	0
ENSG00000224969.1	chr1	947377	948573	-	1197	0
ENSG00000187608.5	chr1	948803	949920	+	1118	19
ENSG00000188157.9	chr1	955503	991496	+	35994	217
ENSG00000242590.1	chr1	990413	991496	+	1084	0
ENSG00000217801.5	chr1	995114	1004735	+	9622	43
ENSG00000273443.1	chr1	997588	998668	-	1081	0
ENSG00000237330.2	chr1	1006346	1009687	-	3342	0
ENSG00000131591.13	chr1	1017198	1051741	-	34544	283
ENSG00000223823.1	chr1	1072397	1079436	+	7040	3
ENSG00000207730.1	chr1	1102484	1102578	+	95	0
ENSG00000207607.1	chr1	1103243	1103332	+	90	0
ENSG00000198976.1	chr1	1104385	1104467	+	83	0
ENSG00000272141.1	chr1	1104737	1105723	+	987	0
ENSG00000205231.1	chr1	1108436	1114935	-	6500	0
ENSG00000162571.9	chr1	1109264	1133315	+	24052	1
ENSG00000186891.9	chr1	1138888	1142071	-	3184	0
ENSG00000186827.6	chr1	1146706	1149518	-	2813	0
ENSG00000078808.12	chr1	1152288	1167411	-	15124	174
ENSG00000176022.3	chr1	1167629	1170421	+	2793	46
ENSG00000184163.3	chr1	1177826	1182102	-	4277	39
ENSG00000260179.1	chr1	1185157	1186714	-	1558	5
ENSG00000160087.16	chr1	1189289	1209265	-	19977	275
ENSG00000230415.1	chr1	1210603	1215800	+	5198	177
ENSG00000162572.15	chr1	1215816	1227409	+	11594	181
ENSG00000131584.14	chr1	1227756	1244989	-	17234	608
ENSG00000169972.7	chr1	1243947	1247057	+	3111	147
ENSG00000127054.14	chr1	1246965	1260071	-	13107	1168
ENSG00000240731.1	chr1	1252961	1254069	-	1109	0
ENSG00000224051.2	chr1	1260136	1264277	+	4142	40
ENSG00000169962.4	chr1	1266694	1270686	+	3993	12
ENSG00000107404.13	chr1	1270656	1284730	-	14075	566
ENSG00000162576.12	chr1	1288069	1297157	-	9089	129
ENSG00000175756.9	chr1	1309110	1310875	-	1766	157
ENSG00000223663.2	chr1	1314046	1314412	+	367	0
ENSG00000221978.7	chr1	1321091	1334708	-	13618	2761
ENSG00000224870.3	chr1	1334902	1337426	+	2525	128
ENSG00000242485.1	chr1	1337288	1342693	-	5406	610
ENSG00000264293.1	chr1	1340841	1341132	-	292	0
ENSG00000272455.1	chr1	1344476	1345998	+	1523	28
ENSG00000235098.4	chr1	1353800	1357149	-	3350	0
ENSG00000225905.1	chr1	1355625	1358071	+	2447	0
ENSG00000205116.3	chr1	1361508	1363167	+	1660	0
ENSG00000225285.1	chr1	1365919	1369953	-	4035	10
ENSG00000179403.10	chr1	1370241	1378262	+	8022	37
ENSG00000215915.5	chr1	1385069	1405538	+	20470	0
ENSG00000160072.15	chr1	1407143	1433228	+	26086	564
ENSG00000197785.9	chr1	1447531	1470067	+	22537	381
ENSG00000205090.4	chr1	1470554	1475833	-	5280	27
ENSG00000160075.10	chr1	1477053	1510249	-	33197	329
ENSG00000215791.2	chr1	1497726	1499904	-	2179	0
ENSG00000215014.3	chr1	1510355	1511373	+	1019	1
ENSG00000236684.1	chr1	1515136	1515379	+	244	0
ENSG00000228594.1	chr1	1533392	1535476	-	2085	47
ENSG00000272106.1	chr1	1549138	1551175	-	2038	62
ENSG00000197530.8	chr1	1550795	1565990	+	15196	178
ENSG00000189409.8	chr1	1567474	1570639	+	3166	0
ENSG00000248333.3	chr1	1570603	1590473	-	19871	235
ENSG00000272004.1	chr1	1590786	1594063	+	3278	7
ENSG00000189339.7	chr1	1592939	1624167	-	31229	337
ENSG00000269737.1	chr1	1603429	1604850	+	1422	0
ENSG00000269227.1	chr1	1604714	1605836	+	1123	8
ENSG00000215914.3	chr1	1631369	1633249	+	1881	1
ENSG00000008128.18	chr1	1634169	1655766	-	21598	0
ENSG00000268575.1	chr1	1634175	1669127	-	34953	0
ENSG00000227775.3	chr1	1655951	1668690	+	12740	48
ENSG00000215790.2	chr1	1656277	1677431	-	21155	32
ENSG00000008130.11	chr1	1682671	1711896	-	29226	407
ENSG00000078369.13	chr1	1716729	1822495	-	105767	1343
ENSG00000231050.1	chr1	1822910	1824097	+	1188	4
ENSG00000169885.5	chr1	1846266	1848735	+	2470	0
ENSG00000178821.8	chr1	1849029	1850712	-	1684	15
ENSG00000142609.13	chr1	1853396	1935276	-	81881	22
ENSG00000233542.1	chr1	1944652	1946969	-	2318	0
ENSG00000187730.6	chr1	1950780	1962192	+	11413	3
ENSG00000226969.1	chr1	1980642	1981509	-	868	1
ENSG00000067606.11	chr1	1981909	2116834	+	134926	221
ENSG00000271806.1	chr1	2072523	2076718	-	4196	0
ENSG00000182873.4	chr1	2113233	2115828	-	2596	1
ENSG00000162585.12	chr1	2115903	2144159	-	28257	226
ENSG00000269554.1	chr1	2121237	2123179	+	1943	3
ENSG00000203301.2	chr1	2143360	2145620	-	2261	0
ENSG00000243558.1	chr1	2143610	2144013	-	404	0
ENSG00000234396.3	chr1	2143962	2152177	+	8216	8
ENSG00000157933.9	chr1	2160134	2241558	+	81425	396
ENSG00000116151.9	chr1	2252692	2323146	-	70455	116
ENSG00000272161.1	chr1	2257640	2258132	-	493	0
ENSG00000269753.1	chr1	2258581	2259042	+	462	0
ENSG00000269896.1	chr1	2281853	2284259	-	2407	0
ENSG00000238240.2	chr1	2283083	2283296	-	214	0
ENSG00000272420.1	chr1	2294500	2295067	-	568	0
ENSG00000271921.1	chr1	2306292	2306792	-	501	0
ENSG00000271847.1	chr1	2309056	2309799	-	744	0
ENSG00000178642.5	chr1	2316811	2319922	+	3112	3
ENSG00000157916.14	chr1	2323267	2336883	+	13617	286
ENSG00000157911.5	chr1	2336236	2345236	-	9001	158
ENSG00000149527.13	chr1	2357419	2436969	+	79551	1
ENSG00000224387.1	chr1	2423739	2424697	-	959	0
ENSG00000229393.1	chr1	2424876	2425918	-	1043	0
ENSG00000157881.9	chr1	2439972	2458039	-	18068	272
ENSG00000197921.5	chr1	2460184	2461684	-	1501	74
ENSG00000272449.1	chr1	2477904	2478899	+	996	30
ENSG00000238164.2	chr1	2481359	2488470	-	7112	0
ENSG00000157873.13	chr1	2487078	2496821	+	9744	0
ENSG00000225931.3	chr1	2497849	2501327	+	3479	0
ENSG00000228037.1	chr1	2512999	2515972	+	2974	0
ENSG00000157870.10	chr1	2517930	2522908	+	4979	56
ENSG00000142606.11	chr1	2522078	2564481	-	42404	8
ENSG00000237058.1	chr1	2564007	2568059	+	4053	0
ENSG00000215912.7	chr1	2567415	2718286	-	150872	8
ENSG00000233234.1	chr1	2728415	2729257	-	843	0
ENSG00000231630.1	chr1	2730997	2731563	-	567	0
ENSG00000169717.5	chr1	2938046	2939465	+	1420	0
ENSG00000177133.6	chr1	2976179	2985001	-	8823	38
ENSG00000256761.1	chr1	2978523	2978959	-	437	0
ENSG00000142611.12	chr1	2985732	3355185	+	369454	172
ENSG00000226286.1	chr1	3049491	3050273	-	783	0
ENSG00000272235.1	chr1	3223200	3226660	-	3461	0
ENSG00000130762.10	chr1	3370990	3397677	+	26688	25
ENSG00000272088.1	chr1	3403810	3404191	+	382	0
ENSG00000162591.11	chr1	3406484	3528059	-	121576	121
ENSG00000207776.1	chr1	3477259	3477354	-	96	0
ENSG00000238260.1	chr1	3539754	3541307	-	1554	1
ENSG00000158109.10	chr1	3541566	3546691	+	5126	75
ENSG00000116213.11	chr1	3547331	3569325	-	21995	589
ENSG00000078900.10	chr1	3569084	3652765	+	83682	74
ENSG00000227589.1	chr1	3575502	3585336	-	9835	3
ENSG00000235131.1	chr1	3628764	3630862	-	2099	0
ENSG00000227372.6	chr1	3652548	3663900	-	11353	193
ENSG00000162592.4	chr1	3668962	3688209	+	19248	0
ENSG00000235169.3	chr1	3689352	3692546	+	3195	7
ENSG00000130764.5	chr1	3696784	3713068	-	16285	240
ENSG00000266075.1	chr1	3699379	3699673	+	295	0
ENSG00000272153.1	chr1	3701572	3702102	+	531	0
ENSG00000116198.8	chr1	3728645	3773778	-	45134	400
ENSG00000169598.11	chr1	3773845	3801993	+	28149	113
ENSG00000264428.1	chr1	3800628	3800697	+	70	0
ENSG00000198912.6	chr1	3805689	3816857	-	11169	160
ENSG00000236423.1	chr1	3816936	3833789	+	16854	6
ENSG00000233304.1	chr1	4000673	4015322	+	14650	1
ENSG00000226374.1	chr1	4007209	4009040	-	1832	0
ENSG00000229280.1	chr1	4235588	4235959	-	372	0
ENSG00000235054.1	chr1	4472111	4484747	+	12637	0
ENSG00000227169.2	chr1	4611795	4612205	-	411	0
ENSG00000232596.1	chr1	4631608	4643481	+	11874	0
ENSG00000196581.6	chr1	4714792	4852594	+	137803	0
ENSG00000231510.1	chr1	5146519	5150959	-	4441	0
ENSG00000260972.1	chr1	5553038	5554734	+	1697	0
ENSG00000264341.1	chr1	5624131	5624203	+	73	0
ENSG00000236948.1	chr1	5647428	5728355	-	80928	1
ENSG00000216045.2	chr1	5875931	5876019	-	89	0
ENSG00000264101.1	chr1	5922732	5922801	-	70	0
ENSG00000131697.13	chr1	5922871	6052533	-	129663	186
ENSG00000266687.1	chr1	5953899	5953984	-	86	0
ENSG00000069424.10	chr1	6051526	6161253	+	109728	49
ENSG00000268332.1	chr1	6100630	6101399	-	770	0
ENSG00000116254.13	chr1	6161853	6240183	-	78331	14
ENSG00000116251.5	chr1	6241329	6269449	-	28121	1134
ENSG00000226944.1	chr1	6264900	6265840	-	941	0
ENSG00000158286.8	chr1	6265535	6281359	+	15825	287
ENSG00000116237.11	chr1	6281253	6296032	-	14780	451
ENSG00000225077.2	chr1	6296300	6299504	+	3205	14
ENSG00000173673.7	chr1	6304252	6305638	+	1387	0
ENSG00000158292.6	chr1	6307406	6321035	-	13630	71
ENSG00000097021.15	chr1	6324329	6454451	-	130123	284
ENSG00000271746.1	chr1	6453615	6454451	+	837	11
ENSG00000069812.7	chr1	6472478	6484730	-	12253	2
ENSG00000187017.10	chr1	6484848	6521430	+	36583	6
ENSG00000265392.1	chr1	6489894	6489956	-	63	0
ENSG00000231868.1	chr1	6503094	6507066	-	3973	0
ENSG00000215788.5	chr1	6521211	6526255	-	5045	173
ENSG00000171680.16	chr1	6526152	6580121	-	53970	139
ENSG00000162408.10	chr1	6581407	6614595	-	33189	354
ENSG00000253022.1	chr1	6600914	6601024	+	111	0
ENSG00000229519.2	chr1	6607965	6608679	+	715	3
ENSG00000173662.15	chr1	6615241	6639817	+	24577	2
ENSG00000204859.7	chr1	6640061	6649340	+	9280	165
ENSG00000162413.12	chr1	6650784	6674667	-	23884	69
ENSG00000116273.5	chr1	6673745	6684093	+	10349	90
ENSG00000041988.11	chr1	6684926	6695646	+	10721	87
ENSG00000007923.11	chr1	6694228	6761984	-	67757	633
ENSG00000228750.1	chr1	6784697	6790072	+	5376	0
ENSG00000239166.1	chr1	6812779	6812881	+	103	0
ENSG00000237436.1	chr1	6843952	6844903	-	952	8
ENSG00000171735.14	chr1	6845384	7829766	+	984383	824
ENSG00000227950.1	chr1	6894393	6894678	-	286	0
ENSG00000237365.1	chr1	7068436	7074339	-	5904	0
ENSG00000207056.1	chr1	7279420	7279584	+	165	0
ENSG00000237402.1	chr1	7429003	7430331	+	1329	0
ENSG00000237728.1	chr1	7442548	7449814	-	7267	0
ENSG00000225126.1	chr1	7501156	7501614	-	459	0
ENSG00000270171.1	chr1	7753184	7754904	-	1721	0
ENSG00000270035.1	chr1	7758363	7758932	-	570	4
ENSG00000269978.1	chr1	7760764	7761030	-	267	27
ENSG00000049245.8	chr1	7831329	7841492	+	10164	446
ENSG00000269925.1	chr1	7836443	7836835	+	393	0
ENSG00000049246.10	chr1	7844380	7905237	+	60858	88
ENSG00000236266.1	chr1	7870302	7887402	-	17101	6
ENSG00000049247.9	chr1	7903143	7913572	-	10430	5
ENSG00000049249.4	chr1	7979907	8000926	-	21020	1
ENSG00000270330.1	chr1	8002432	8002786	+	355	0
ENSG00000116288.8	chr1	8014351	8045565	+	31215	628
ENSG00000200344.1	chr1	8042941	8043043	-	103	0
ENSG00000116285.8	chr1	8064464	8086368	-	21905	191
ENSG00000238290.1	chr1	8086798	8182762	+	95965	6
ENSG00000232848.1	chr1	8117305	8118523	-	1219	0
ENSG00000229305.1	chr1	8249884	8252830	+	2947	0
ENSG00000200975.1	chr1	8266494	8266657	-	164	0
ENSG00000227634.1	chr1	8268732	8275270	+	6539	0
ENSG00000233645.1	chr1	8278250	8280589	-	2340	0
ENSG00000265414.1	chr1	8335184	8335438	-	255	0
ENSG00000251977.1	chr1	8352217	8352323	-	107	0
ENSG00000162426.10	chr1	8377886	8404227	+	26342	5
ENSG00000252254.1	chr1	8388127	8388239	+	113	0
ENSG00000142599.13	chr1	8412457	8877702	-	465246	2271
ENSG00000232912.1	chr1	8484705	8494898	+	10194	2
ENSG00000221083.1	chr1	8571854	8571978	-	125	0
ENSG00000270282.1	chr1	8572712	8573080	+	369	0
ENSG00000234619.1	chr1	8810489	8811146	+	658	0
ENSG00000224315.2	chr1	8846270	8846972	-	703	0
ENSG00000222511.1	chr1	8856633	8856731	-	99	0
ENSG00000226545.1	chr1	8858534	8859565	+	1032	2
ENSG00000228423.2	chr1	8865919	8867110	-	1192	0
ENSG00000229716.2	chr1	8891066	8891434	+	369	0
ENSG00000074800.9	chr1	8921061	8939308	-	18248	2113
ENSG00000236269.1	chr1	8935847	8938066	-	2220	0
ENSG00000230679.1	chr1	8938894	8939953	+	1060	3
ENSG00000201725.1	chr1	8943486	8943592	-	107	0
ENSG00000238249.1	chr1	8953468	8954210	+	743	0
ENSG00000232208.2	chr1	8967452	8967803	-	352	0
ENSG00000232663.2	chr1	8969801	8969963	+	163	0
ENSG00000131686.10	chr1	9005926	9035151	+	29226	0
ENSG00000265141.1	chr1	9039637	9039933	-	297	0
ENSG00000197241.3	chr1	9063359	9086404	-	23046	2
ENSG00000142583.13	chr1	9095166	9148537	-	53372	1
ENSG00000252404.1	chr1	9142755	9142938	+	184	0
ENSG00000180758.10	chr1	9160364	9189229	-	28866	73
ENSG00000207865.1	chr1	9211727	9211836	-	110	0
ENSG00000228526.2	chr1	9242066	9262678	-	20613	2
ENSG00000234546.2	chr1	9242263	9252148	+	9886	26
ENSG00000049239.8	chr1	9294834	9331396	+	36563	49
ENSG00000252841.1	chr1	9338450	9338592	+	143	0
ENSG00000171621.9	chr1	9352939	9429591	+	76653	24
ENSG00000252956.1	chr1	9497728	9497837	-	110	0
ENSG00000235263.1	chr1	9561151	9563530	-	2380	0
ENSG00000171612.6	chr1	9599541	9645237	+	45697	282
ENSG00000231181.1	chr1	9636485	9637043	+	559	0
ENSG00000188807.8	chr1	9648932	9674935	+	26004	106
ENSG00000171608.11	chr1	9711790	9789172	+	77383	129
ENSG00000179840.5	chr1	9712668	9714644	-	1977	0
ENSG00000233268.3	chr1	9720886	9722684	-	1799	1
ENSG00000231789.2	chr1	9732484	9747613	-	15130	41
ENSG00000171603.12	chr1	9789084	9884584	-	95501	628
ENSG00000271264.1	chr1	9840880	9841298	+	419	0
ENSG00000178585.10	chr1	9908334	9970394	-	62061	58
ENSG00000223989.1	chr1	9908376	9910212	+	1837	4
ENSG00000162441.7	chr1	9982173	10003465	-	21293	192
ENSG00000228150.1	chr1	10002981	10010032	+	7052	0
ENSG00000173614.9	chr1	10003486	10045559	+	42074	76
ENSG00000202415.1	chr1	10007376	10007694	+	319	0
ENSG00000265521.1	chr1	10027439	10027516	+	78	0
ENSG00000241326.1	chr1	10043199	10044626	+	1428	0
ENSG00000162444.11	chr1	10057264	10076078	+	18815	0
ENSG00000225786.2	chr1	10078085	10078592	-	508	0
ENSG00000130939.14	chr1	10092890	10241297	+	148408	788
ENSG00000224340.1	chr1	10114503	10114839	-	337	0
ENSG00000233623.2	chr1	10118729	10119706	+	978	0
ENSG00000201746.1	chr1	10223326	10223432	+	107	0
ENSG00000054523.12	chr1	10270863	10441661	+	170799	1047
ENSG00000264881.1	chr1	10287776	10287861	+	86	0
ENSG00000199562.1	chr1	10359024	10359130	+	107	0
ENSG00000264501.1	chr1	10366523	10366813	+	291	0
ENSG00000265945.1	chr1	10450059	10450353	+	295	0
ENSG00000142657.16	chr1	10458649	10480201	+	21553	338
ENSG00000271989.1	chr1	10489938	10490734	-	797	0
ENSG00000175279.17	chr1	10490159	10512210	+	22052	0
ENSG00000251503.3	chr1	10490159	10512210	+	22052	0
ENSG00000241563.2	chr1	10509776	10511959	+	2184	0
ENSG00000160049.7	chr1	10516579	10532583	-	16005	483
ENSG00000203469.2	chr1	10518612	10519395	+	784	18
ENSG00000142655.8	chr1	10532345	10690815	+	158471	370
ENSG00000243267.2	chr1	10676893	10677170	+	278	0
ENSG00000130940.10	chr1	10696661	10856707	-	160047	120
ENSG00000272078.1	chr1	10699298	10714390	+	15093	7
ENSG00000225158.2	chr1	10955818	10956055	+	238	0
ENSG00000175262.10	chr1	11006528	11042094	-	35567	10
ENSG00000215785.2	chr1	11051035	11051854	-	820	0
ENSG00000264181.1	chr1	11058233	11058320	-	88	0
ENSG00000207213.1	chr1	11059919	11060002	-	84	0
ENSG00000120948.11	chr1	11072414	11085796	+	13383	864
ENSG00000009724.12	chr1	11086580	11107290	-	20711	25
ENSG00000271895.1	chr1	11089716	11090585	+	870	31
ENSG00000116649.5	chr1	11114641	11120081	-	5441	725
ENSG00000171824.9	chr1	11126675	11159938	-	33264	686
ENSG00000226849.1	chr1	11128528	11133154	+	4627	16
ENSG00000230337.1	chr1	11159732	11162157	+	2426	6
ENSG00000198793.8	chr1	11166592	11322564	-	155973	994
ENSG00000225602.1	chr1	11203955	11209594	+	5640	7
ENSG00000253086.1	chr1	11212407	11212509	+	103	0
ENSG00000271794.1	chr1	11229564	11229670	-	107	0
ENSG00000171819.4	chr1	11249398	11256038	+	6641	2
ENSG00000207451.1	chr1	11286311	11286417	+	107	0
ENSG00000238173.1	chr1	11293020	11293169	+	150	0
ENSG00000120942.9	chr1	11333263	11356106	+	22844	84
ENSG00000238199.1	chr1	11338673	11339408	-	736	0
ENSG00000224338.2	chr1	11485314	11485878	-	565	0
ENSG00000204624.6	chr1	11539223	11597641	+	58419	19
ENSG00000235643.1	chr1	11669588	11673412	+	3825	0
ENSG00000116661.9	chr1	11708424	11715842	-	7419	43
ENSG00000132879.9	chr1	11714432	11723384	+	8953	551
ENSG00000116663.6	chr1	11724181	11734411	+	10231	22
ENSG00000116670.10	chr1	11734537	11751707	-	17171	182
ENSG00000162490.6	chr1	11751786	11785914	+	34129	3
ENSG00000177674.11	chr1	11796141	11814859	+	18719	143
ENSG00000215910.3	chr1	11821844	11849642	+	27799	27
ENSG00000177553.6	chr1	11837134	11839676	-	2543	0
ENSG00000177000.6	chr1	11845780	11866977	-	21198	154
ENSG00000011021.17	chr1	11866207	11903201	+	36995	246
ENSG00000242349.1	chr1	11901074	11908136	+	7063	22
ENSG00000175206.6	chr1	11905766	11908402	-	2637	0
ENSG00000120937.8	chr1	11917521	11918988	-	1468	0
ENSG00000224904.1	chr1	11937827	11940463	+	2637	0
ENSG00000199347.1	chr1	11968209	11968328	+	120	0
ENSG00000201801.1	chr1	11969865	11969984	-	120	0
ENSG00000116685.11	chr1	11979648	11986485	-	6838	97
ENSG00000083444.12	chr1	11994262	12035595	+	41334	346
ENSG00000116688.12	chr1	12040238	12073571	+	33334	354
ENSG00000270914.1	chr1	12077273	12077365	-	93	0
ENSG00000116691.6	chr1	12079523	12092102	+	12580	325
ENSG00000202461.1	chr1	12084069	12084181	-	113	0
ENSG00000243539.2	chr1	12096799	12097071	-	273	0
ENSG00000120949.10	chr1	12123434	12204264	+	80831	0
ENSG00000201135.1	chr1	12137938	12138041	-	104	0
ENSG00000227875.2	chr1	12140350	12140604	-	255	0
ENSG00000028137.12	chr1	12227060	12269285	+	42226	3
ENSG00000263676.1	chr1	12251770	12251830	+	61	0
ENSG00000225196.2	chr1	12280851	12281166	-	316	0
ENSG00000252969.1	chr1	12281205	12281328	-	124	0
ENSG00000048707.9	chr1	12290124	12572099	+	281976	681
ENSG00000239149.1	chr1	12567300	12567451	+	152	0
ENSG00000229484.1	chr1	12587766	12588462	+	697	0
ENSG00000162496.4	chr1	12627939	12677737	-	49799	54
ENSG00000221340.1	chr1	12630000	12630100	-	101	0
ENSG00000272482.1	chr1	12678906	12679250	-	345	0
ENSG00000204518.2	chr1	12704566	12727097	+	22532	2
ENSG00000226166.2	chr1	12752925	12753036	+	112	0
ENSG00000188984.7	chr1	12776118	12788726	+	12609	0
ENSG00000238771.1	chr1	12799693	12799796	+	104	0
ENSG00000157330.5	chr1	12806163	12823847	+	17685	0
ENSG00000116726.4	chr1	12834984	12838049	+	3066	0
ENSG00000116721.9	chr1	12851546	12856777	+	5232	0
ENSG00000228338.1	chr1	12882549	12883022	-	474	0
ENSG00000204513.5	chr1	12884468	12891264	-	6797	0
ENSG00000231103.2	chr1	12897978	12901210	-	3233	0
ENSG00000179172.7	chr1	12907261	12908578	-	1318	0
ENSG00000120952.4	chr1	12916941	12921764	+	4824	0
ENSG00000243073.3	chr1	12939045	12946025	-	6981	0
ENSG00000187545.5	chr1	12952727	12958101	-	5375	0
ENSG00000204510.1	chr1	12976450	12980569	+	4120	0
ENSG00000207434.1	chr1	12982374	12982480	+	107	0
ENSG00000234064.1	chr1	12985990	12988081	+	2092	0
ENSG00000232423.3	chr1	12998181	13117751	-	119571	1
ENSG00000250894.1	chr1	13012966	13015755	-	2790	0
ENSG00000204508.3	chr1	13035543	13038381	+	2839	0
ENSG00000239810.2	chr1	13052394	13052998	-	605	0
ENSG00000270601.1	chr1	13108842	13112679	-	3838	0
ENSG00000250113.1	chr1	13123246	13126086	-	2841	0
ENSG00000204505.3	chr1	13140456	13145000	+	4545	0
ENSG00000233336.1	chr1	13146777	13147256	+	480	0
ENSG00000229978.1	chr1	13162645	13165443	-	2799	0
ENSG00000236179.1	chr1	13171871	13173157	-	1287	0
ENSG00000179412.8	chr1	13182960	13184326	-	1367	0
ENSG00000224199.1	chr1	13196270	13199067	+	2798	0
ENSG00000229571.2	chr1	13216356	13219581	-	3226	0
ENSG00000204503.5	chr1	13328196	13331692	-	3497	0
ENSG00000233394.1	chr1	13351482	13354323	+	2842	0
ENSG00000204502.2	chr1	13359819	13369057	+	9239	0
ENSG00000231219.1	chr1	13379149	13381237	-	2089	0
ENSG00000207511.1	chr1	13384735	13384841	-	107	0
ENSG00000182330.6	chr1	13386646	13390765	-	4120	0
ENSG00000237700.1	chr1	13411551	13414482	+	2932	0
ENSG00000204501.2	chr1	13421176	13428191	+	7016	0
ENSG00000228229.2	chr1	13429634	13430113	+	480	0
ENSG00000204495.3	chr1	13447414	13452656	-	5243	0
ENSG00000204491.2	chr1	13474689	13477522	-	2834	0
ENSG00000204488.3	chr1	13495254	13498260	+	3007	0
ENSG00000204486.3	chr1	13516066	13526943	+	10878	0
ENSG00000204485.2	chr1	13607431	13611550	-	4120	0
ENSG00000224581.1	chr1	13632348	13635279	+	2932	0
ENSG00000157358.7	chr1	13641973	13648988	+	7016	0
ENSG00000204481.6	chr1	13668269	13673511	-	5243	0
